song_id,title,artist,language,tempo,energy_rms,spectral_centroid,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,chroma_0,chroma_1,chroma_2,chroma_3,chroma_4,chroma_5,chroma_6,chroma_7,chroma_8,chroma_9,chroma_10,chroma_11,som_x,som_y,jitter_x,jitter_y
Mabel_Matiz_A_Canım,A Canım,Mabel Matiz,tr,112.34714673913044,0.2067200243473053,2639.141210308573,-36.33536,71.4126,-12.319791,19.464699,0.38602525,12.053784,-3.2773232,4.7042303,-2.0864658,8.050201,2.8075593,9.608338,1.1832298,0.5915552,0.36072966,0.51703256,0.5068844,0.37240326,0.43262133,0.38736278,0.58629566,0.39981335,0.4061797,0.40514556,0.35772523,2,14,1.89963209507789,13.753418766634937
Mabel_Matiz_Gel,Gel,Mabel Matiz,tr,112.34714673913044,0.1123896837234497,2136.247956454672,-206.29419,77.69501,-0.23469926,10.330665,-11.3719635,-13.237747,-12.639992,-7.8057804,-22.847212,8.207636,-9.530295,-15.046216,-2.5978603,0.3071787,0.19319285,0.23240471,0.18968861,0.21459125,0.34896278,0.22523709,0.39207354,0.40500614,0.2447617,0.23050645,0.22178017,16,15,16.36057144512793,14.640051621674635
Mabel_Matiz_Ahu,Ahu,Mabel Matiz,tr,123.046875,0.1765297055244445,2524.3912451791657,-87.595,81.27033,8.1963215,21.872154,4.42435,10.782834,2.4706218,6.733267,1.7289486,4.9154773,-3.6187,-0.17526887,-2.2251165,0.3461158,0.45212317,0.44484416,0.31207547,0.26211646,0.23963714,0.3444516,0.30820745,0.49447283,0.5247572,0.30471122,0.3347165,15,0,15.185595153449125,0.2989070581077601
Mabel_Matiz_Ya_Bu_İşler_Ne,Ya Bu İşler Ne,Mabel Matiz,tr,107.666015625,0.2036911398172378,1592.3156762223812,-159.19556,107.12599,-18.049015,32.301617,8.527139,8.456014,10.505879,7.038213,-1.2263067,6.8703732,2.2339747,6.2734256,2.2946064,0.39847416,0.40703264,0.56959736,0.38491958,0.3630456,0.37379664,0.3961376,0.47608453,0.4104682,0.47557327,0.41699332,0.38026646,9,0,9.078926787357629,-0.33955640498978434
Mabel_Matiz_Aşk_Yok_Olmaktır,Aşk Yok Olmaktır,Mabel Matiz,tr,80.74951171875,0.2003100663423538,1564.190553376673,-99.40475,122.92669,-26.857893,36.73748,16.086142,12.399657,2.3956885,6.2145185,5.2876515,9.137343,-4.2291317,5.885015,2.3456688,0.4997057,0.29000893,0.33054483,0.33611897,0.4054931,0.40105864,0.41356355,0.38516042,0.34709218,0.51348984,0.35307539,0.50460184,7,4,6.724814912353949,3.7973507437951977
Mabel_Matiz_Zor_Değil,Zor Değil,Mabel Matiz,tr,112.34714673913044,0.1846261322498321,1192.9582593680022,-174.84831,140.17418,24.495565,28.919544,11.48545,9.153971,3.7312198,3.2588491,-10.296059,5.7933836,5.2513485,5.038125,1.5518185,0.4865146,0.47909045,0.38688463,0.29244262,0.37366563,0.30589783,0.4776111,0.30010417,0.24388453,0.32147503,0.41803664,0.6405524,5,15,4.724795616268962,15.156255159699509
Mabel_Matiz_Sarışın,Sarışın,Mabel Matiz,tr,123.046875,0.2145033776760101,1836.8690773383476,-75.408806,101.631165,-0.41016442,36.958427,11.017154,14.262819,6.9429684,10.716284,1.9984483,4.6891727,-1.5572535,-0.9923249,-1.102049,0.3046173,0.34062967,0.25289893,0.3981719,0.29872686,0.27019125,0.43182525,0.26981848,0.32320392,0.27196693,0.47622576,0.5103226,5,17,4.64646688973456,16.927558350101847
Mabel_Matiz_Sarmaşık,Sarmaşık,Mabel Matiz,tr,89.10290948275862,0.1881010383367538,1695.2112075565703,-111.47671,108.166794,-11.723289,30.102442,2.1600802,8.380577,8.129621,14.468094,4.8627787,9.160729,0.5246401,1.8478664,-1.9916849,0.6305313,0.51630473,0.4124942,0.4101908,0.37499952,0.5296108,0.43670148,0.3061196,0.3502792,0.26824698,0.37223768,0.410534,6,1,6.292940916619948,1.301051175932407
Mabel_Matiz_Bir_Hadise_Var,Bir Hadise Var,Mabel Matiz,tr,99.38401442307692,0.169103518128395,1149.1095939294378,-184.75755,165.59297,-36.096123,25.008915,-12.70096,-20.978027,-7.2178564,-19.283983,-16.21374,-6.298005,-13.290974,-3.4241078,-7.126429,0.18222469,0.47383004,0.18272935,0.37337518,0.494131,0.13091753,0.1139262,0.11369865,0.28221145,0.13715036,0.09320511,0.19343203,19,18,19.080892009394567,17.838383835729815
Mabel_Matiz_Fırtınadayım,Fırtınadayım,Mabel Matiz,tr,112.34714673913044,0.1657844930887222,2831.081088718059,-72.0273,62.827423,-24.31338,21.170877,-2.9022934,4.732506,2.0261505,10.080468,2.6122446,4.456822,-1.0474991,3.4598157,-1.3009818,0.4212507,0.29234946,0.33868027,0.30377042,0.50000423,0.34586185,0.31976336,0.46952692,0.41482946,0.6062155,0.31993935,0.46429822,6,11,6.166458062236837,10.609497077335487
