song_id,title,artist,som_x,som_y
Mabel_Matiz_A_Canım,A Canım,Mabel Matiz,19,4
Mabel_Matiz_Gel,Gel,Mabel Matiz,9,16
Mabel_Matiz_Ahu,Ahu,Mabel Matiz,13,12
Mabel_Matiz_Ya_Bu_İşler_Ne,Ya Bu İşler Ne,Mabel Matiz,18,7
Mabel_Matiz_Aşk_Yok_Olmaktır,Aşk Yok Olmaktır,Mabel Matiz,14,5
Mabel_Matiz_Zor_Değil,Zor Değil,Mabel Matiz,12,3
Mabel_Matiz_Sarışın,Sarışın,Mabel Matiz,8,6
Mabel_Matiz_Sarmaşık,Sarmaşık,Mabel Matiz,19,8
Mabel_Matiz_Bir_Hadise_Var,Bir Hadise Var,Mabel Matiz,2,19
Mabel_Matiz_Fırtınadayım,Fırtınadayım,Mabel Matiz,12,0
Mabel_Matiz_Kömür,Kömür,Mabel Matiz,14,9
Mabel_Matiz_Yaşım_Çocuk,Yaşım Çocuk,Mabel Matiz,14,6
Mabel_Matiz_Öyle_Kolaysa,Öyle Kolaysa,Mabel Matiz,10,16
Mabel_Matiz_Mendilimde_Kırmızım_Var,Mendilimde Kırmızım Var,Mabel Matiz,5,8
Mert_Demir_Antidepresan,Antidepresan,Mert Demir,11,8
Mabel_Matiz_Dağılıyorum_Olaysız,Dağılıyorum Olaysız,Mabel Matiz,19,4
Mabel_Matiz_Fan,Fan,Mabel Matiz,16,13
Mabel_Matiz_Düldül,Düldül,Mabel Matiz,12,16
Mabel_Matiz_Müphem,Müphem,Mabel Matiz,15,11
Mabel_Matiz_Numaracı,Numaracı,Mabel Matiz,15,15
Selin_YANILIR_GİBİ,YANILIR GİBİ,Selin,17,7
Aleyna_Tilki_Kayboldum_Masalında,Kayboldum Masalında,Aleyna Tilki,4,13
Mabel_Matiz_Karakol,Karakol,Mabel Matiz,11,7
Mabel_Matiz_Gözlerine,Gözlerine,Mabel Matiz,14,9
Mabel_Matiz_Bahçemin_En_Zor_Gülü,Bahçemin En Zor Gülü,Mabel Matiz,0,10
Mabel_Matiz_Sultan_Süleyman,Sultan Süleyman,Mabel Matiz,3,12
Mabel_Matiz_İki_Satır_Yara,İki Satır Yara,Mabel Matiz,2,19
Mabel_Matiz_Boyalı_Da_Saçların,Boyalı Da Saçların,Mabel Matiz,6,8
Can_Bonomo_Kalbi_Hepten_Kırıklara,Kalbi Hepten Kırıklara,Can Bonomo,11,0
Mabel_Matiz_Aferin,Aferin,Mabel Matiz,15,16
Mabel_Matiz_Toy,Toy,Mabel Matiz,15,3
Mabel_Matiz_Yeni_Yaz,Yeni Yaz,Mabel Matiz,6,11
