song_id,title,artist,som_x,som_y
Mabel_Matiz_A_Canım,A Canım,Mabel Matiz,5,17
Mabel_Matiz_Gel,Gel,Mabel Matiz,20,2
Mabel_Matiz_Ahu,Ahu,Mabel Matiz,17,12
Mabel_Matiz_Ya_Bu_İşler_Ne,Ya Bu İşler Ne,Mabel Matiz,5,17
Mabel_Matiz_Aşk_Yok_Olmaktır,Aşk Yok Olmaktır,Mabel Matiz,17,12
Mabel_Matiz_Zor_Değil,Zor Değil,Mabel Matiz,1,6
Mabel_Matiz_Sarışın,Sarışın,Mabel Matiz,17,12
Mabel_Matiz_Sarmaşık,Sarmaşık,Mabel Matiz,14,20
Mabel_Matiz_Bir_Hadise_Var,Bir Hadise Var,Mabel Matiz,20,2
Mabel_Matiz_Fırtınadayım,Fırtınadayım,Mabel Matiz,17,12
Mabel_Matiz_Kömür,Kömür,Mabel Matiz,8,1
Mabel_Matiz_Yaşım_Çocuk,Yaşım Çocuk,Mabel Matiz,5,17
Mabel_Matiz_Öyle_Kolaysa,Öyle Kolaysa,Mabel Matiz,20,2
Mabel_Matiz_Mendilimde_Kırmızım_Var,Mendilimde Kırmızım Var,Mabel Matiz,1,6
Mert_Demir_Antidepresan,Antidepresan,Mert Demir,5,17
Mabel_Matiz_Dağılıyorum_Olaysız,Dağılıyorum Olaysız,Mabel Matiz,5,17
Mabel_Matiz_Fan,Fan,Mabel Matiz,8,1
Mabel_Matiz_Düldül,Düldül,Mabel Matiz,1,6
Mabel_Matiz_Müphem,Müphem,Mabel Matiz,14,20
Mabel_Matiz_Numaracı,Numaracı,Mabel Matiz,17,12
Selin_YANILIR_GİBİ,YANILIR GİBİ,Selin,17,12
Aleyna_Tilki_Kayboldum_Masalında,Kayboldum Masalında,Aleyna Tilki,20,2
Mabel_Matiz_Karakol,Karakol,Mabel Matiz,8,1
Mabel_Matiz_Gözlerine,Gözlerine,Mabel Matiz,17,12
Mabel_Matiz_Bahçemin_En_Zor_Gülü,Bahçemin En Zor Gülü,Mabel Matiz,1,6
Mabel_Matiz_Sultan_Süleyman,Sultan Süleyman,Mabel Matiz,14,20
Mabel_Matiz_İki_Satır_Yara,İki Satır Yara,Mabel Matiz,20,2
Mabel_Matiz_Boyalı_Da_Saçların,Boyalı Da Saçların,Mabel Matiz,20,2
Can_Bonomo_Kalbi_Hepten_Kırıklara,Kalbi Hepten Kırıklara,Can Bonomo,8,1
Mabel_Matiz_Aferin,Aferin,Mabel Matiz,14,20
Mabel_Matiz_Toy,Toy,Mabel Matiz,17,12
Mabel_Matiz_Yeni_Yaz,Yeni Yaz,Mabel Matiz,20,2
Mabel_Matiz_Gök_Nerede,Gök Nerede,Mabel Matiz,20,2
Mabel_Matiz_Vals,Vals,Mabel Matiz,20,2
Mabel_Matiz_Kül_Hece,Kül Hece,Mabel Matiz,1,6
Mabel_Matiz_Kara_Dantelli_Gençliğimize,Kara Dantelli Gençliğimize,Mabel Matiz,1,6
Ceylan_Ertem_Kör_Heves,Kör Heves,Ceylan Ertem,20,2
Mabel_Matiz_Hanfendi,Hanfendi,Mabel Matiz,17,12
Mabel_Matiz_Yıllar_Saçlarına,Yıllar Saçlarına,Mabel Matiz,1,6
Mabel_Matiz_Aşkım_Gülüm,Aşkım Gülüm,Mabel Matiz,20,2
Mabel_Matiz_Adını_Sen_Koy,Adını Sen Koy,Mabel Matiz,20,2
Mabel_Matiz_Tuzla_Buz,Tuzla Buz,Mabel Matiz,1,6
Mabel_Matiz_Değilsin,Değilsin,Mabel Matiz,1,6
Mabel_Matiz_Çukur,Çukur,Mabel Matiz,5,17
Mabel_Matiz_Kalbime_Azap,Kalbime Azap,Mabel Matiz,17,12
Mabel_Matiz_Arafta,Arafta,Mabel Matiz,20,2
Mabel_Matiz_Kahrettim,Kahrettim,Mabel Matiz,20,2
Mabel_Matiz_Söylese_O_Ben_Söyleyemem,Söylese O Ben Söyleyemem,Mabel Matiz,8,1
Ko_Shin_Moon_Perperişan,Perperişan,Ko Shin Moon,17,12
Can_Bonomo_Canım_Diye,Canım Diye,Can Bonomo,5,17
Mabel_Matiz_Gök_Mavi,Gök Mavi,Mabel Matiz,5,17
Mabel_Matiz_Kerem_Gibi,Kerem Gibi,Mabel Matiz,20,2
Mabel_Matiz_Sen_Benim_Şarkılarımsın,Sen Benim Şarkılarımsın,Mabel Matiz,20,2
Mabel_Matiz_Mor_Perdeler,Mor Perdeler,Mabel Matiz,1,6
Mabel_Matiz_Atlar_Yoruldu,Atlar Yoruldu,Mabel Matiz,17,12
Mabel_Matiz_Dalga,Dalga,Mabel Matiz,5,17
Mabel_Matiz_Geziyorum_Dünya_İşte,Geziyorum Dünya İşte,Mabel Matiz,14,20
Bengü_Beker_Siyah_İncim,Siyah İncim,Bengü Beker,20,2
Mabel_Matiz_Aşk_Çeşmesi,Aşk Çeşmesi,Mabel Matiz,1,6
Mabel_Matiz_Çiçeğim,Çiçeğim,Mabel Matiz,20,2
Mabel_Matiz_Bir_Serçe_Üzülür,Bir Serçe Üzülür,Mabel Matiz,1,6
Mabel_Matiz_Filler_Ve_Çimen,Filler Ve Çimen,Mabel Matiz,8,1
Selda_Bağcan_Yuh_Yuh,Yuh Yuh,Selda Bağcan,1,6
Mabel_Matiz_Uçkun,Uçkun,Mabel Matiz,5,17
Mabel_Matiz_Alaimisema,Alaimisema,Mabel Matiz,17,12
Mabel_Matiz_Tamburu_Yokuştan,Tamburu Yokuştan,Mabel Matiz,5,17
Mabel_Matiz_Sarışın_Değil,Sarışın Değil,Mabel Matiz,1,6
Mabel_Matiz_Babamı_Beklerken,Babamı Beklerken,Mabel Matiz,1,6
Mabel_Matiz_Dualar_Değişir,Dualar Değişir,Mabel Matiz,20,2
Mabel_Matiz_Fena_Halde_Bela,Fena Halde Bela,Mabel Matiz,8,1
